# Typekit class table
# format: <PS family name>,<class index> (with no whitespace)
# TK_BLACKLETTER,0
Anisette Std Petite ExLight,4
Anisette Std Petite Light,4
Anisette Std Petite Thin,4
Anivers,4
Annabelle,1
AnnabelleJF,5
Annie Use Your Telescope,2
Anonymous,3
Anonymous Pro,3
Antic,4
Antic Didone,6
Antic Slab,7
Antique Olive Std,4
AntiqueOli,4
AntiqueOliCom,4
AntiqueOliCon,4
AntiqueOliLig,4
AntiqueOliMed,4
AntiqueOliNorDReg,4
Anton,4
Antonio,4
AnuDaw,2
AnzeigenGro,4
Aowzfytgugozntgiosbrftncbjo,0
Apertura Web Cn,4
Apertura Web Md,4
Apertura Web MdCn,4
Apertura Web Rg,4
Apolline Std,6
Apolline Std Book,6
Apolline Std Caps,6
Apolline Std ExtraBold,6
Apollo MT Std,6
Apple Chancery,5
Apple SD Gothic Neo,4
Apple Symbols,1
AppleGothic,4
AppleMyungjo,6
AquilineTwo,5
Arapey,6
Arbutus,1
Arbutus Slab,6
Arcadia LT Std,1
Arcana GMM Std,5
ArchetypeItalic,6
ArchetypeRegular,6
Archistico,2
Architects Daughter,2
Archivo Black,4
Archivo Narrow,4
Arcon,4
Ardoise Std,4
Ardoise Std Black,4
Ardoise Std Compact,4
Ardoise Std Compact Black,4
Ardoise Std Compact ExtraBold,4
Ardoise Std Compact ExtraLight,4
Ardoise Std Compact Light,4
Ardoise Std Compact Thin,4
Ardoise Std ExtraBold,4
Ardoise Std ExtraLight,4
Ardoise Std Heavy,4
Ardoise Std Light,4
Ardoise Std Narrow,4
Ardoise Std Narrow Black,4
Ardoise Std Narrow ExtraBold,4
Ardoise Std Narrow ExtraLight,4
Ardoise Std Narrow Heavy,4
Ardoise Std Narrow Light,4
Ardoise Std Narrow Thin,4
Ardoise Std Thin,4
Ardoise Std Tight,4
Ardoise Std Tight Black,4
Ardoise Std Tight ExtraBold,4
Ardoise Std Tight ExtraLight,4
Ardoise Std Tight Heavy,4
Ardoise Std Tight Light,4
Ardoise Std Tight Thin,4
Arek,6
Arek Eb Latin Web,6
Arek Latin Web,6
Arek Sb Latin Web,6
Ariadne LT Std,5
Arial,4
Arial Black,4
Arial Narrow,4
Arial Rounded MT Bold,4
Arial Unicode MS,4
Arimo,4
Arizonia,5
ArmWrestler,4
Armalite Rifle,1
Armata,4
Arno Pro,6
Arno Pro Caption,6
Arno Pro Display,6
Arno Pro Light Display,6
Arno Pro SmText,6
Arno Pro Smbd,6
Arno Pro Smbd Caption,6
Arno Pro Smbd Display,6
Arno Pro Smbd SmText,6
Arno Pro Smbd Subhead,6
Arno Pro Subhead,6
Arnold Boecklin Std,1
Arsenal,4
Artifika,6
Arvo,7
Arya,4
Asap,4
Asgepgxcoqnaxacycmjxzttalke,6
Ashley Script MT Std,5
AsimovSans,4
Asset,6
Astloch,0
Astrology Pi LT Std,4
Asul,6
Athelas,6
Atomic Age,1
Atrament Std,4
Atrament Std Italic,4
Atrament Std Light,4
Atrament Std Light Italic,4
Atrament Std SemiBold,4
Atrament Std SemiBold Italic,4
Aubrey,4
Audio Pi LT Std,4
Audiowide,1
Aurea UltraItalic,6
Aurea UltraRoman,6
Auriol LT Std,1
Aurulent Sans,4
Aurulent Sans Mono,3
Automate OT Bold,4
Automate OT Light,4
Automate OT Regular,4
Autour One,1
Avenir,4
Avenir LT Std,4
Avenir Next,4
Avenir Next Condensed,4
Average,6
Average Sans,4
Averia Gruesa Libre,1
Averia Libre,1
Averia Sans Libre,4
Averia Serif Libre,6
Aviano,6
Aviano Black,6
Aviano Bold,6
Aviano Didone Black,6
Aviano Didone Bold,6
Aviano Didone Light,6
Aviano Didone Regular,6
Aviano Didone Thin,6
Aviano Flare Black,4
Aviano Flare Bold,4
Aviano Flare Light,4
Aviano Flare Medium,4
Aviano Flare Regular,4
Aviano Flare Thin,4
Aviano Future,1
Aviano Light,6
Aviano Sans,4
Aviano Serif Black,6
Aviano Serif Bold,6
Aviano Serif Light,6
Aviano Serif Regular,6
Aviano Slab Bold,7
Aviano Slab Light,7
Aviano Slab Regular,7
Awsfuksqgshygatvvmniqnfbxki,4
Ayuthaya,3
Azo Sans,4
Azo Sans Uber,4
Azo Sans Web Bk,4
Azo Sans Web Lt,4
Azo Sans Web Md,4
BD Brick,1
BD Geminis,1
BD Jupiter,1
BD Jupiter Stencil,1
BD Nippori,1
BD Retrocentric,1
BD Viewmaster,1
BDColonius,1
BDPlakatbau,1
BDR A3MIK,1
BDRmono 2006,1
BP Diet,1
BPdots,1
BPdotsCondensed,1
BPdotsCondensedDiamond,1
BPdotsCondensedSquare,1
BPdotsDiamond,1
BPdotsMinus,1
BPdotsPlus,1
BPdotsSquares,1
BPdotsUnicase,1
BPdotsUnicaseDiamond,1
BPdotsUnicaseMinus,1
BPdotsUnicasePlus,1
BPdotsUnicaseSquare,1
BPdotsUnicaseVertical,1
BPdotsVertical,1
BPmono,3
BPreplay,4
BPscript,1
